date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:56	909557/909557	---M--	200	added ('OK')	image/jpeg	etag:%224ca071b-de0f5-52cfdf6a66000%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/bg6.jpg	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/bg6.jpg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:56	8476/8476	---M--	200	added ('OK')	image/gif	etag:%224ca076c-211c-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/loading.gif	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/loading.gif	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css)
17:30:56	1360/1360	---M--	200	added ('OK')	image/png	etag:%224ca076e-550-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/prev.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/prev.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css)
17:30:58	856720/856720	---M--	200	added ('OK')	image/jpeg	etag:%224ca071a-d1290-5282a62a0dc00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/bg5.jpg	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/bg5.jpg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:58	1350/1350	---M--	200	added ('OK')	image/png	etag:%224ca076d-546-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/next.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/next.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css)
17:31:01	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224ca0812-2f68-52e46a4dba600%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons.eot?5510888	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons90c6.eot	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:02	7536/7536	---M--	200	added ('OK')	font/woff	etag:%224ca0815-1d70-52e46a4dba600%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons.woff?5510888	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons90c6.woff	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:03	11968/11968	---M--	200	added ('OK')	font/ttf	etag:%224ca0814-2ec0-52e46a4dba600%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons.ttf?5510888	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons90c6.ttf	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:05	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%224ca0813-357b-52e46a4dba600%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons.svg?5510888	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/fonts/revicons/revicons90c6.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
17:31:05	326/326	---M--	200	added ('OK')	text/html	etag:%224ca07f0-146-4f03167c6fb00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/openhand.cur	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/openhand.html	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css)
